Oligo	brain vs whole fly - T-Test_Change Direction	BrainMean	BrainSEM	BrainPresent	Brain:fly	head vs whole fly  - T-Test_Change Direction	HeadMean	HeadSEM	HeadPresent	Head:fly	Crop vs Whole flies t-test - T-Test_Change Direction	cropMean	cropSEM	cropPresent	ratio	midgut vs whole fly - T-Test_Change Direction	MidgutMean	MidgutSEM	MidgutPresent	Midgut:fly	Hind vs Whole  - T-Test_Change Direction	HindgutMean	HindgutSEM	Hindgutpresent	Hindgut:fly	Tubule t test vs whole fly	tubuleMean	tubuleSEM	tubulePresent	tubule:fly	ovary vs whole flies - T-Test_Change Direction	OvaryMean	OvarySEM	OvaryPresent	Ovary:fly	testis vs whole flies - T-Test_Change Direction	TestisMean	TestisSEM	TestisCall	Testis:fly	acc vs W - T-Test_Change Direction	AccMean	AccSEM	AccPresent	Acc:fly	LT vs whole fly - T-Test_Change Direction	l_tubMean	l_tubSEM	l_tubPresent	l_tub:fly	FB vs whole fly - T-Test_Change Direction	l_fatMean	l_fatSEM	l_fatPresent	l_fat:fly	tag vs whole flies - T-Test_Change Direction	tagMean	tagSEM	tagPresent	tag:fly	car vs Whole fly - T-Test_Change Direction	carMean	carSEM	carPresent	car:fly	SG vs whole fly - T-Test_Change Direction	Sgmean	Sgsem	Present	ratio	L_sg t	l_sg mean	l-sg sem	l_sg present	l_sg ratio	l_mid t	l_mid mean	l_mid sem	l_mid present	l_mid ratio	larvae hindgut vs whole fly  - T-Test_Change Direction	l_hind mean	l_hind sem	l_hind present	l_hind ratio	SptV vs W - T-Test_Change Direction	SptV mean	SptV sem	SptV present	SptV ratio	SptM vs W t-test - T-Test_Change Direction	SptM mean	SptM sem	SptM present	SptM ratio	Feeded larvae central nerve system vs whole flies  - T-Test_Change Direction	LcnsMean	LcnsSEM	call	ratio	Adult fat body vs whole flies  - T-Test_Change Direction	AFBmean	AFBSEM	AFBcall	ratio	Feeded larvae carcuss vs whole flies  - T-Test_Change Direction	LcarMean	LcarSEM	Lcar call	ratio	eye vs whole flies - T-Test_Change Direction	eye mean	eye sem	eye present	eye ratio	heart vs wholefly t-test - T-Test_Change Direction	heart mean	heart sem	heart present	heart ratio	lftrachea vs wholefly - T-Test_Change Direction	trachea mean	trachea sem	trachea present	trachea ratio	Drosophila S2 cells vs whole flies - T-Test_Change Direction	S2 Mean	S2 sem	S2 present	S2 ratio	FlyMean	FlySEM	FlyPresent		
1622938_at	Up	7.9	1.2	3	3.1	None	3.9	0.5	0	1.6	None	3.7	2.4	0	1.4	Up	9.1	2.1	0	3.6	None	4.5	1.5	0	1.8	Up	4.8	0.6	0	1.9	None	1.1	0.3	0	0.4	None	3.4	0.9	0	1.3	None	4.9	2.9	0	1.9	None	5.5	1.7	0	2.2	Up	7.5	1.4	1	3	None	4.1	0.3	0	1.6	None	5.2	2.3	0	2.1	None	10.4	4.9	0	4.13	None	4.8	0.6	0	1.9	None	5.5	1.2	0	2.17	None	4.4	0.9	0	1.75	None	6.2	1.4	1	2.45	Up	9.3	1.8	1	3.69	None	4.5	1.6	1	1.78	Up	7.9	1.1	4	3.14	None	2.85	1.439039031	0	1.128712871	None	2.65	1.307988277	1	1.04950495	None	2.75	0.922406273	0	1.089108911	None	1.6	0.905538514	0	0.633663366	None	4.075	0.953393063	0	1.613861386	2.5	1	0		
1622939_at	Up	527.5	1.8	4	1.6	None	398.7	24	4	1.2	Up	462.6	14.9	4	1.4	Down	263.8	3.8	4	0.8	Up	376.3	9.6	4	1.1	Up	461.6	8.6	4	1.4	Up	500.8	8.7	4	1.5	Down	80.3	2.3	4	0.2	None	333.5	6	4	1	Up	434.6	6.4	4	1.3	None	283.3	23	4	0.9	Up	465.3	21	4	1.4	Down	267.9	12.9	4	0.8	None	378.6	15.3	4	1.14	Up	514.4	18.1	4	1.55	Down	190.2	9.8	4	0.57	Up	472.3	20.6	4	1.42	Up	590.7	22	4	1.78	Up	637.7	20.6	4	1.92	Up	994.825	114.8	4	3	Up	395.6	28.6	4	1.19	Up	409.5	20.13438187	4	1.235480465	Up	812.625	20.55733344	4	2.451727259	Up	641.025	8.565665473	4	1.934002112	Up	1096.275	28.97704551	4	3.307512445	Up	679.8	19.99178998	4	2.050988083	331.5	14.5	4		
1622940_at	Down	1.5	0.5	0	0.1	Down	2.1	1.3	0	0.1	Down	1.8	0.5	0	0.1	Down	1	0.1	0	0	Down	1	0.3	0	0	Down	2.6	0.4	0	0.1	Down	2	0.5	0	0.1	Up	363.3	3	4	17.8	Down	5	2.8	0	0.2	Down	2.5	0.7	0	0.1	None	46.9	23.9	3	2.3	Down	1	0.3	0	0	Down	4	1.9	0	0.2	Down	2.1	0.5	0	0.1	Down	1	0.1	0	0.05	Down	4.9	1.7	0	0.24	Down	1.6	0.6	0	0.08	Down	1.2	0.3	0	0.06	Down	2.2	0.8	0	0.11	Down	2.875	2.7	0	0.14	Down	3.6	2.3	0	0.18	Down	1.175	0.354436172	0	0.057598039	Down	0.575	0.149303941	0	0.028186275	Down	2.05	0.866506395	0	0.100490196	Down	3.4	2.210580618	0	0.166666667	Down	14.925	0.625	3	0.731617647	20.4	1	4		
1622941_at	Up	713.8	12.4	4	1.9	Up	560	24.5	4	1.5	Up	897.7	23.5	4	2.4	Up	490.5	17.8	4	1.3	Up	979.4	19	4	2.6	Up	746.9	19.7	4	2	None	452.2	6.2	4	1.2	None	421	6.2	4	1.1	Up	816.8	27.9	4	2.2	Up	829.9	19.2	4	2.2	None	408.6	11.3	4	1.1	Up	684.7	29.1	4	1.8	None	397.9	6.4	4	1.1	Up	971.3	23.2	4	2.59	Up	785.6	36.8	4	2.09	Up	537.9	12.8	4	1.43	Up	920.6	42	4	2.45	None	296.4	4.7	4	0.79	None	316.8	14.9	4	0.84	Up	956.05	95.5	4	2.55	None	304.3	23.8	4	0.81	Up	543.15	23.74968421	4	1.447435043	Up	996.65	22.93180106	4	2.655962692	Up	497.35	18.38135378	4	1.325383078	Up	923.025	37.91687179	4	2.45976016	Up	1309.85	11.96616758	4	3.490606262	375.3	36.4	4		
1622942_at	Up	27.6	0.6	4	11.9	None	7.5	3	2	3.2	None	10.3	2.7	1	4.4	None	6.5	2.3	0	2.8	Up	8.8	1.6	1	3.8	Up	5	0.7	0	2.2	None	4.4	1.6	0	1.9	None	2.2	0.8	0	0.9	None	6.8	1.7	0	2.9	Up	9.5	1.3	1	4.1	Up	14.8	1.9	2	6.4	Up	20.3	5.1	4	8.7	Up	14.5	3.1	0	6.2	Up	15	3.9	0	6.44	None	7.3	2.3	0	3.12	None	5.4	2.6	0	2.31	None	5.1	1.7	0	2.19	Up	8.5	0.7	0	3.66	Up	9.5	2.2	1	4.08	Up	9.05	2.1	1	3.89	Up	12.2	2.2	0	5.24	Up	13.275	2.130091939	3	5.709677419	None	5.8	2.170637387	1	2.494623656	None	4.075	1.216809352	0	1.752688172	None	2.7	1.023067284	0	1.161290323	Up	5.075	0.815858444	0	2.182795699	2.3	0.7	0		
1622943_s_at	Up	130	2.1	4	1.6	Down	60.6	1.4	4	0.8	Down	40.7	2.2	4	0.5	Down	42.5	2.3	3	0.5	Down	34.7	1.1	4	0.4	Down	44.3	2.8	4	0.6	Up	162.7	4.7	4	2	Down	37.6	3.2	4	0.5	Up	97.8	2.5	3	1.2	Down	36.5	1.8	4	0.5	Down	47	2.2	4	0.6	Up	91.2	1.4	4	1.1	Down	39.2	3.6	3	0.5	Down	55.2	4.3	2	0.69	Down	54.2	3.1	4	0.68	Down	38.4	2.7	3	0.48	Down	35.1	3	4	0.44	Down	33.7	3.4	4	0.42	Down	44.2	5.4	4	0.55	Down	61.65	0.6	4	0.77	Down	33.9	4.3	4	0.42	Down	30.025	1.78809722	4	0.375078076	None	77.7	3.28049793	4	0.970643348	Down	41.3	2.832843095	4	0.515927545	Down	38.125	3.142583863	4	0.476264834	Down	42.975	0.543714079	4	0.536851968	80.1	3.4	4		
1622944_at	Down	132.6	2	4	0.8	Down	104.2	2.8	4	0.6	Up	203.4	3.8	4	1.2	Down	87.3	2.2	4	0.5	Down	107.4	2.2	4	0.6	Down	40.5	2.5	4	0.2	Up	247.7	0.5	4	1.4	Up	368.3	8	4	2.1	Up	267.2	6.3	4	1.6	Down	114.7	5.7	4	0.7	None	181.1	18.5	4	1.1	Down	106.6	5.4	4	0.6	Down	108	4.4	4	0.6	Down	134.6	6.8	4	0.78	Up	501.3	18.2	4	2.91	Down	102.3	5	4	0.59	Down	160.1	3.7	4	0.93	Down	48.3	1.7	4	0.28	Down	53.9	3.2	4	0.31	Down	144.125	7.5	4	0.84	Down	89.8	9.4	4	0.52	Up	348.7	5.282518339	4	2.024677021	Down	144.225	7.063093633	4	0.837421977	Down	121.5	4.973764503	4	0.705472492	Up	326.45	9.830055951	4	1.895485557	Up	335.625	4.877734276	4	1.948758891	172.2	1.8	4		
1622945_a_at	Down	236.8	10.2	4	0.6	Down	228.4	13.6	4	0.6	Down	200	9.4	4	0.5	Down	215.9	10.8	4	0.6	Down	166	5.5	4	0.4	None	302.2	35.5	4	0.8	Up	660.7	12.3	4	1.8	Down	64.6	3.6	4	0.2	Up	450.8	14.9	4	1.2	Down	162	5.9	4	0.4	Down	135.4	10.7	4	0.4	Down	305.3	5.9	4	0.8	Down	184.9	5.5	4	0.5	Down	271.8	11.8	4	0.73	Up	890.7	19.8	4	2.4	Down	228.7	11.8	4	0.62	None	371.5	2.3	4	1	Down	209.5	8.6	4	0.56	Down	249.8	11.8	4	0.67	Up	641.975	26.7	4	1.73	Down	254	20.2	4	0.68	None	490.15	44.13295254	4	1.318227661	None	543.6	73.42827566	4	1.461978081	Down	150.925	6.198168412	4	0.405903315	None	401.175	35.84507172	4	1.078934983	Up	461.525	13.12887244	4	1.24124252	371.8	18.6	4		
1622946_at	Down	40.2	2	4	0.3	Up	602	39.7	4	4.8	Down	41.9	2.5	4	0.3	Up	983.1	64.7	4	7.9	Up	459.8	15.2	4	3.7	Up	1136	247.5	4	9.1	Down	18.3	2.3	4	0.1	Down	25.8	2.7	4	0.2	Down	11.1	4.1	2	0.1	Up	781.3	13.3	4	6.3	Up	256.8	21.3	4	2.1	Down	35.8	1.7	4	0.3	Up	258.9	10.1	4	2.1	Down	13.9	5	2	0.11	Down	14.6	1	4	0.12	Up	478.5	83.8	4	3.83	None	251.6	66.1	4	2.02	Up	218.8	6.5	4	1.75	None	99.7	11.3	4	0.8	Down	15.85	5.5	4	0.13	None	142.4	14.5	4	1.14	Down	21.6	2.33023604	2	0.173076923	Up	518.925	83.74363035	4	4.158052885	None	100.775	4.519656145	4	0.807491987	Down	14.3	6.12916525	4	0.114583333	Down	5.75	0.698212002	1	0.046073718	124.8	8.8	4		
1622947_s_at	Up	2424.9	40.7	4	1.3	Up	2246.9	82.7	4	1.2	None	1893.6	105.4	4	1	Up	2225.7	28.3	4	1.2	Up	3131.2	145.8	4	1.7	Up	2938	59.5	4	1.6	None	2039.1	28.8	4	1.1	Down	796.2	39.4	4	0.4	Down	1458.6	24.7	4	0.8	Up	2662.2	199	4	1.4	Down	945.2	84.1	4	0.5	Up	3065.9	63.4	4	1.6	Up	2626.2	67.2	4	1.4	Down	1501.7	56.4	4	0.8	Down	1534.2	66.6	4	0.81	Down	1528.1	71.8	4	0.81	Up	3463.4	45.9	4	1.83	Up	3179.1	63.2	4	1.68	Up	3029	73.7	4	1.6	Up	2252.375	104.4	4	1.19	Up	2837	206.3	4	1.5	None	2248.65	258.1028235	4	1.19124308	Up	2716.025	53.64173399	4	1.438839298	Up	2350.325	78.29338387	4	1.245106349	None	1657.25	147.7799603	4	0.877943475	Down	1193.2	19.59672592	4	0.632108707	1887.7	88.9	4		
1622948_at	Down	61.7	3	4	0.7	Down	57	1.8	4	0.6	Up	146.3	5.5	4	1.6	Down	78.3	3	4	0.9	Down	49.8	3.7	4	0.6	None	84.9	5.3	4	0.9	Up	154.2	5.7	4	1.7	Up	108.4	3.1	4	1.2	Up	198.8	17	4	2.2	None	94.8	4.8	4	1.1	Up	178.5	8.9	4	2	Down	58.2	1.2	4	0.6	Down	69.5	4.9	4	0.8	None	73.1	7	4	0.81	Up	186.9	12.3	4	2.07	Down	65.8	3.8	4	0.73	Down	57.6	0.7	4	0.64	Down	62.4	3.1	4	0.69	None	78.3	6.2	4	0.87	None	96.85	7.7	4	1.07	Down	60.1	5.3	4	0.67	Up	130.225	8.708078146	4	1.444536883	Down	63.175	2.114385253	4	0.700776484	Down	66.5	5.038683691	4	0.737659456	Up	154.65	15.85465231	4	1.71547421	Up	160.85	2.894391128	4	1.784248475	90.2	3.7	4		
1622949_at	Down	9.8	1.8	0	0.1	Down	38.2	1.2	4	0.5	Down	9.8	3.4	0	0.1	Up	285.8	7.1	4	3.8	Up	101.4	4	4	1.3	Down	20	1.5	2	0.3	Down	48.4	0.3	4	0.6	Down	58.6	2.6	4	0.8	Down	1.8	0.4	0	0	Down	27.5	5.2	2	0.4	Down	4.9	1.8	0	0.1	Down	6.8	1.6	0	0.1	Up	122	10.1	4	1.6	Down	44.4	8.9	0	0.59	Up	203.6	29.4	4	2.71	Up	272.2	3.4	4	3.62	None	101.1	9.5	4	1.34	Up	166.4	12.9	4	2.21	Up	208.2	23.1	4	2.77	Down	11.7	2.8	3	0.16	Up	158	22.1	4	2.1	Down	25.175	2.711203607	0	0.334885268	Up	303.675	41.27185027	4	4.039574327	Up	286.25	12.90067828	4	3.807781842	Up	274.25	35.53969612	4	3.648154307	Down	11.275	1.805258523	0	0.149983372	75.2	2.1	4		
1622950_a_at	Down	148.7	3.8	4	0.5	Down	173.6	4.7	4	0.6	None	235.5	8.2	4	0.8	Up	477.6	5.7	4	1.7	None	325.1	10.5	4	1.2	Up	822.4	24.6	4	2.9	Up	439.7	20.4	4	1.6	Down	123.1	5.6	4	0.4	Up	1493.7	22	4	5.3	Up	397.1	8.2	4	1.4	None	330.4	17.2	4	1.2	Down	135.5	3	4	0.5	Down	201.3	10.6	4	0.7	Up	1311.4	51.7	4	4.65	Up	1063.2	29.4	4	3.77	Up	632.6	21.9	4	2.24	Up	379.2	26.3	4	1.34	Up	978	21.8	4	3.46	Up	1009.2	37.2	4	3.58	Down	214.85	9.2	4	0.76	Up	405.9	61.2	4	1.44	None	299.4	7.467708261	4	1.060667789	Down	173.8	7.387602227	4	0.615711629	None	332.65	15.01157886	4	1.178460721	None	299.45	19.72773006	4	1.060844921	Up	542.725	4.888997	4	1.922681782	282.3	20.8	4		
1622951_at	None	3.1	1.2	0	1.8	None	4.8	1.1	0	2.8	None	3.8	1.7	0	2.2	None	3.7	0.9	0	2.2	None	1	0.5	0	0.6	Up	4.7	0.8	0	2.7	None	2.2	0.8	0	1.3	None	2.8	1.4	0	1.6	None	2.9	1.6	0	1.7	None	2.3	1.1	0	1.4	None	4.5	2.3	0	2.7	None	0.8	0.3	0	0.5	None	6.2	3	0	3.6	None	5.7	2.7	0	3.37	None	7.3	2.6	1	4.29	None	1.7	0.8	0	0.97	None	3.2	1.4	0	1.85	None	5.1	1.7	0	2.99	None	4	2.8	0	2.35	None	3.525	2.8	0	2.07	Up	8.9	3.6	0	5.21	None	3.075	1.713366569	0	1.808823529	None	3.325	1.92283428	0	1.955882353	None	3.55	0.590903263	0	2.088235294	None	0.4	0.21602469	0	0.235294118	None	3.2	0.980646046	0	1.882352941	1.7	1	0		
1622952_at	Down	9.2	0.7	0	0.1	Down	33.6	6.3	4	0.5	Down	6.6	1.2	0	0.1	Down	16.7	5.2	2	0.2	Down	13.1	2.7	0	0.2	Down	6.7	1.6	0	0.1	Down	3	1	0	0	Up	658.9	17.9	4	9	Down	7.7	2.9	0	0.1	Down	17.3	1.5	3	0.2	None	55.3	21.7	4	0.8	Down	9.8	2.1	0	0.1	Down	25.4	3.8	1	0.3	Down	10.7	3.4	0	0.15	Down	14.3	2	3	0.2	Down	10.4	4.5	1	0.14	Down	4.7	1.6	0	0.06	Down	12.2	1.6	3	0.17	Down	11.1	1.7	0	0.15	Down	5.625	0.9	2	0.08	None	32.8	22.4	2	0.45	Down	15.025	4.767140128	2	0.206033596	Down	17.375	3.852785789	4	0.238258485	Down	16.3	4.340314889	3	0.223517312	Down	12.575	5.077647093	3	0.172437436	Down	2.925	1.211318153	0	0.040109702	72.9	13	4		
1622953_at	None	4.2	1.3	0	1.8	None	3.4	1.3	0	1.5	None	6.2	2.2	0	2.6	None	4.8	2.3	0	2.1	None	1.6	0.6	0	0.7	Up	3.8	0.6	0	1.6	None	2.7	1.5	0	1.2	None	1.6	0.5	0	0.7	None	9.4	2.7	0	4	None	3.5	1.2	0	1.5	Up	7.3	1.4	1	3.1	None	6.3	1.6	0	2.7	None	7.4	3.5	0	3.2	None	12.1	5.9	0	5.2	None	5.3	1.7	0	2.28	None	3.3	1.4	0	1.41	None	4.3	0.8	0	1.84	Up	6.3	1	0	2.71	None	3.8	1.9	0	1.61	None	4.775	0.8	0	2.05	Up	9.2	0.6	1	3.94	None	3.45	1.322560648	0	1.483870968	None	3.025	0.648556089	0	1.301075269	None	2.975	0.866386173	0	1.279569892	None	2.35	1.424780685	0	1.010752688	None	2.9	0.822597512	0	1.247311828	2.3	0.9	0		
1622954_at	None	2.3	0.8	0	0.7	None	1.8	1	0	0.6	None	2.7	0.9	0	0.9	None	3.9	1.2	0	1.3	None	2.3	1.1	0	0.8	None	3.2	0.8	0	1	None	3.6	1	0	1.2	None	1.4	0.8	0	0.4	None	3.9	2.2	0	1.3	None	6.9	2.2	0	2.2	Up	9.2	1.3	0	3	None	4.9	1.6	0	1.6	None	6.3	2.7	0	2.1	None	13.6	5.8	0	4.42	None	5.4	1.6	0	1.76	None	3.2	1.2	0	1.02	None	2.4	1.1	0	0.76	None	2	0.9	0	0.64	None	1.3	0.2	0	0.41	None	2.425	2.2	0	0.79	None	1.4	0.7	0	0.46	None	2.7	0.631136541	0	0.87804878	None	0.8	0.204124145	0	0.260162602	None	2.15	1.421560176	0	0.699186992	None	0.95	0.68556546	0	0.308943089	None	3.1	1.523701633	0	1.008130081	3.1	1.2	0		
1622955_at	None	3.5	1.4	0	0.6	None	4.5	1.8	0	0.8	None	1.2	0.4	0	0.2	None	5.1	1.7	0	0.9	None	8.4	0.8	0	1.6	None	4.3	0.9	0	0.8	None	3	1	0	0.6	None	1.4	0.4	0	0.3	None	5.1	1.9	0	0.9	None	6.4	3	0	1.2	None	1.7	0.3	0	0.3	None	4.8	1.7	0	0.9	None	8	1.8	0	1.5	None	5.8	2.1	0	1.08	None	5.7	1.4	0	1.06	None	7.3	2.7	0	1.36	None	2	0.8	0	0.36	None	5.9	0.9	0	1.11	None	8	2.1	0	1.5	None	2.425	1.3	0	0.45	None	6.9	3.3	0	1.29	None	1.875	0.213600094	0	0.35046729	None	2.15	0.619811799	0	0.401869159	None	7.525	1.536974843	1	1.406542056	None	2.225	1.728920665	0	0.41588785	None	3.6	0.751664819	0	0.672897196	5.4	1.9	0		
1622956_at	Down	1.2	0.4	0	0	Down	1.9	0.9	0	0	Down	3.1	1.3	0	0	Down	2.4	0.8	0	0	Down	6.6	1.6	0	0	Down	2.2	0.4	0	0	Down	1.4	0.6	0	0	Up	1424.4	23.4	4	10.1	Down	2.3	1.1	0	0	Down	3.8	2.1	0	0	None	118.4	54.4	4	0.8	Down	1.7	0.7	0	0	Down	4.3	2.2	0	0	Down	3.6	1	0	0.03	Down	2	0.8	0	0.01	Down	8.7	3	0	0.06	Down	2.2	0.9	0	0.02	Down	2.3	1	0	0.02	Down	5.1	1.9	0	0.04	Down	2.45	1.6	0	0.02	Down	1.6	0.5	0	0.01	Down	4.3	1.673817991	0	0.030340448	Down	3.425	0.743163284	0	0.02416652	Down	1.8	0.724568837	0	0.012700653	Down	7.5	9.033271833	1	0.052919386	Down	2.45	0.796345821	0	0.017286999	141.7	4.7	4		
1622957_s_at	Up	568.3	18.3	4	31	Up	111.4	5.7	4	6.1	Down	11.1	1.6	1	0.6	Down	6.1	1	0	0.3	Down	5.9	0.9	0	0.3	Down	8.4	0.9	0	0.5	Down	1.1	0.4	0	0.1	Up	89.9	5.2	4	4.9	None	11.2	2.8	0	0.6	Down	7.4	1.1	1	0.4	Down	9.5	1.1	1	0.5	Up	315.8	2	4	17.2	Down	6.1	1.7	0	0.3	Up	26	1.5	2	1.42	Down	5	0.5	0	0.27	Down	4.5	1.2	0	0.25	Down	5.5	1.7	0	0.3	None	19.2	2.3	4	1.04	None	20.9	6.3	4	1.14	Up	208.65	25.2	4	11.37	None	23.3	8.7	4	1.27	Down	9.25	1.892749323	0	0.504087193	None	17.9	1.404160485	4	0.975476839	Down	1.375	0.916856041	0	0.07493188	Down	5.325	2.905598045	0	0.290190736	Down	2.95	0.16583124	0	0.160762943	18.4	1.2	4		
1622958_at	None	1	0.5	0	2.7	None	2.1	1.2	0	5.5	None	2.3	0.9	0	6	None	1	0.3	0	2.6	None	1.6	0.8	0	4.1	Up	2.1	0.3	0	5.5	None	1	0.5	0	2.7	None	1.1	0.7	0	3	None	2.5	1.4	0	6.5	None	6.4	2.3	0	16.9	Up	339.1	31.8	4	904.3	None	3	1.4	1	7.9	None	5.3	4	0	14.2	None	3.8	1.4	0	10.07	Up	17.9	2	1	47.67	None	1	0.5	0	2.67	Up	7.4	1	1	19.73	Up	2.5	0.7	0	6.67	None	1.4	0.4	0	3.67	None	0.9	1	0	2.4	None	5	5.1	0	13.33	Up	6.1	1.070046728	2	16.26666667	None	2.45	1.241974235	0	6.533333333	None	2.775	0.951643316	0	7.4	None	2.65	1.654287359	1	7.066666667	None	2.375	0.946374662	0	6.333333333	0.4	0.1	0		
1622959_at	Down	7.8	2.1	0	0.1	Down	11.2	1.6	0	0.1	Down	14.9	1.3	1	0.1	Down	13.4	2	1	0.1	Down	14.4	1.5	3	0.1	Down	17.3	6.4	0	0.2	Up	389.2	5.5	4	3.4	Down	45.8	1.1	4	0.4	Down	27	4.5	3	0.2	Down	16.9	2	1	0.1	Down	21.4	2.5	2	0.2	Down	10.3	1.6	1	0.1	Down	20.1	6.6	1	0.2	Down	28.1	3.5	0	0.25	Down	14.6	2.5	1	0.13	Down	16.6	1.8	3	0.14	Down	14.6	0.6	2	0.13	Down	15.1	0.9	2	0.13	Down	11.1	1.5	0	0.1	Down	9.925	2.6	1	0.09	Down	22	5.4	3	0.19	Down	14.175	1.061739924	1	0.123691099	Down	8.7	1.959166489	0	0.07591623	Down	7.3	1.467991826	1	0.063699825	Down	13.05	2.671454036	0	0.113874346	Down	19.2	1.362595562	2	0.167539267	114.6	4.4	4		
1622960_at	Down	0.6	0.2	0	0	Down	7.6	1.5	0	0	Down	9.3	1.9	2	0.1	Up	2023.8	73.8	4	12.1	Up	453.7	25.3	4	2.7	Up	877.7	25.2	4	5.3	Down	2	0.6	0	0	Down	26	0.5	4	0.2	Down	4.7	1.8	0	0	Up	750.5	23.4	4	4.5	Up	445.1	61.6	4	2.7	Down	0.9	0.1	0	0	Down	9.5	3.6	0	0.1	Down	8.3	5.9	0	0.05	Down	10.8	2.2	3	0.06	Up	2009.3	62.8	4	12.03	Up	455.6	34.7	4	2.73	Down	3.5	1.5	0	0.02	Down	3	0.9	0	0.02	Down	3.15	1.2	0	0.02	Down	6.3	4.7	0	0.04	Down	4.175	1.111586704	0	0.025003743	Down	4.175	1.778283348	1	0.025003743	Down	3.775	0.647269908	0	0.022608175	Down	4.575	2.631064423	0	0.027399311	Down	1.775	1.24189036	0	0.010630334	167	13.1	4		
1622961_at	None	1.3	0.5	0	0.4	None	3.2	1.6	0	0.9	None	3.6	0.8	0	1	None	2.6	1.2	0	0.7	None	4.2	1.3	0	1.2	Up	5.8	0.5	0	1.6	None	1.2	0.4	0	0.3	None	4.3	1	0	1.2	None	2.8	1.2	0	0.8	None	4.1	1.1	0	1.1	None	3.4	1	0	0.9	None	3	0.9	0	0.8	None	3.5	1.4	0	1	None	4.1	1.3	0	1.14	None	4	1.9	1	1.1	None	4	0.8	1	1.11	None	2.5	0.6	0	0.68	None	3.3	1.2	0	0.9	None	1.8	0.6	0	0.49	None	1.975	1.3	1	0.54	None	3.9	2.4	1	1.07	None	1.95	0.613052472	0	0.537931034	None	3.575	1.515132007	0	0.986206897	None	5.15	1.205888331	1	1.420689655	None	1.825	1.472809107	1	0.503448276	None	1.175	0.611521327	0	0.324137931	3.6	0.9	0		
1622962_a_at	Up	75	1.9	4	1.2	None	65.5	2.8	4	1	None	73.4	5.3	4	1.2	None	57.1	2.7	4	0.9	None	70.4	3.1	4	1.1	Up	92.8	1.2	4	1.5	None	62.6	0.6	4	1	Down	44.8	2.3	4	0.7	None	56.2	3.6	4	0.9	Up	87.2	6.8	4	1.4	Down	29.1	2.8	3	0.5	Up	94.9	4.8	4	1.5	Up	134.1	6.7	4	2.1	Up	99.5	5.1	4	1.56	Down	40	1.4	4	0.63	None	56.8	1.6	4	0.89	None	54.8	2.1	4	0.86	Up	163.6	8.4	4	2.57	Up	96.6	7	4	1.52	None	62.025	8.5	4	0.97	Up	107.7	15.1	4	1.69	None	56.15	7.407259952	4	0.882514735	Up	78.225	2.591130706	4	1.229469548	Up	96.875	2.2253745	4	1.52259332	Down	34.875	3.429650128	4	0.548133595	Down	41.85	1.650504973	4	0.657760314	63.6	3.1	4		
